PART NUMBER	EXTRA LENGHT (mm)	Obsolete
NSA855008-4	3.680	No
NSA855008-8	4.480	No
NSA855010GV04	16.066	No
NSA855010GV05	18.479	No
NSA855010GV06	19.749	No
NSA855010GV08	22.162	No
NSA855010GV10	24.525	No
NSA855010GV12	22.403	No
NSA855010GV16	21.082	No
NSA855010GV24	26.670	No
NSA855010PN04	16.066	No
NSA855010PN06	19.749	No
NSA855010PN08	22.162	No
NSA855010PN10	24.525	No
NSA855010PN12	22.403	No
NSA855010PP04	16.066	No
NSA855010PP06	19.749	No
NSA855010PP08	22.162	No
NSA855010PP10	24.525	No
NSA855010PP12	22.403	No
NSA855010PP16	21.082	No
NSA855010PP20	21.082	No
NSA855010PP24	26.670	No
NSA855020-10	4.380	No
NSA855020-10E	4.380	No
NSA855020-10N	4.380	No
NSA855020-12	4.380	No
NSA855020-12E	4.380	No
NSA855020-12N	4.380	No
NSA855020-16	4.730	No
NSA855020-16E	4.730	No
NSA855020-16N	4.730	No
NSA855020-20	4.510	No
NSA855020-20E	4.510	No
NSA855020-20N	4.510	No
NSA855020-4	3.680	No
NSA855020-4E	3.680	No
NSA855020-4N	3.680	No
NSA855020-5E	4.700	No
NSA855020-6	4.010	No
NSA855020-6E	4.010	No
NSA855020-6N	4.010	No
NSA855020-8	4.480	No
NSA855020-8E	4.480	No
NSA855020-8N	4.480	No
NSA855022-4	0.370	No
NSA855022-6	0.700	No
NSA855023-4	0.370	No
NSA855023-6	0.700	No
NSA855025-04	3.680	No
NSA855025-04E	3.680	No
NSA855025-06	4.010	No
NSA855025-06E	4.010	No
NSA855025-08	4.480	No
NSA855025-08E	4.480	No
NSA855025-10	4.380	No
NSA855025-10E	4.380	No
NSA855025-12	4.380	No
NSA855025-12E	4.380	No
NSA855025-16	4.730	No
NSA855025-16E	4.730	No
NSA855025-20	4.510	No
NSA855025-20E	4.510	No
NSA855025-24	4.060	No
NSA855025-24E	4.060	No
NSA855026-4	3.680	No
NSA855034-04	15.945	No
NSA855034-05	18.463	No
NSA855034-06	19.428	No
NSA855034-08	22.073	No
NSA855034-10	23.976	No
NSA855034-12	22.071	No
NSA855034-16	24.267	No
NSA855034-20	25.067	No
NSA855034-24	26.847	No
NSA855034G05	18.463	No
NSA855034G16	24.267	No
NSA855034P04	15.945	No
NSA855034P05	18.463	No
NSA855034P06	19.428	No
NSA855034P08	22.073	No
NSA855034P10	23.976	No
NSA855034P12	22.071	No
NSA855034P16	24.267	No
NSA855034P20	25.067	No
NSA855034P24	26.847	No
NSA855036-0406	0.700	No
NSA855036-0604	0.370	No
NSA855036-0608	1.170	No
NSA855036-0804	0.370	No
NSA855036-0806	0.700	No
NSA855036-0810	1.070	No
NSA855036-1006	0.700	No
NSA855036-1008	1.170	No
NSA855036-1012	1.070	No
NSA855036-1206	0.700	No
NSA855036-1208	1.170	No
NSA855036-1210	1.070	No
NSA855036-1216	17.830	No
NSA855036-1610	1.070	No
NSA855036-1612	1.070	No
NSA855036-1620	1.200	No
NSA855036-1624	1.250	No
NSA855036-2016	1.420	No
NSA855036D0406	0.700	No
NSA855036D0604	0.370	No
NSA855036D0608	1.170	No
NSA855036D0804	0.370	No
NSA855036D0806	0.700	No
NSA855036D0810	1.070	No
NSA855036D1006	0.700	No
NSA855036D1008	1.170	No
NSA855036D1012	1.070	No
NSA855036D1206	0.700	No
NSA855036D1208	1.170	No
NSA855036D1210	1.070	No
NSA855036D1216	17.830	No
NSA855036D1610	1.070	No
NSA855036D1612	1.070	No
NSA855036D1620	1.200	No
NSA855036D1624	1.250	No
NSA855036D2016	1.420	No
NSA855036E0406	0.700	No
NSA855036E0604	0.370	No
NSA855036E0608	1.170	No
NSA855036E0804	0.370	No
NSA855036E0806	0.700	No
NSA855036E0810	1.070	No
NSA855036E1006	0.700	No
NSA855036E1008	1.170	No
NSA855036E1012	1.070	No
NSA855036E1206	0.700	No
NSA855036E1208	1.170	No
NSA855036E1210	1.070	No
NSA855036E1216	17.830	No
NSA855036E1610	1.070	No
NSA855036E1612	1.070	No
NSA855036E1620	1.200	No
NSA855036E1624	1.250	No
NSA855036E2016	1.420	No
NSA855036G1216	17.830	No
NSA855036G1610	1.070	No
NSA855036G1612	1.070	No
NSA855036G1620	1.200	No
NSA855036G1624	1.250	No
NSA855036G2016	1.420	No
NSA855036N1610	1.070	No
NSA855036N1612	1.070	No
NSA855036N1620	1.200	No
NSA855036N1624	1.250	No
NSA855036N2016	1.420	No
NSA855037-10	4.480	No
NSA855037-6	4.050	No
